country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e,gfw_forest_carbon_gross_emissions_2024__Mg_CO2e
Malaysia,Putrajaya,75,925,77701,163,4540,8927,-4389,5140,7396,6373,3470,2004,1242,3754,250,3389,1510,1522,1440,1056,2423,2122,7286,11453,7314,5936,5359,10741,4994,7391,5389
Malaysia,Sabah,0,7391613,834603298,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Sabah,10,6784768,833403931,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Sabah,15,6757335,832133350,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Sabah,20,6736489,831084068,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Sabah,25,6725032,830505949,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Sabah,30,6698363,829123549,538,37212774,23572398,13640376,30717060,29564571,18790104,43614528,39445527,44223111,34968769,46799824,55234099,50874580,39189738,56207353,28970344,68254046,51930860,54772481,33551078,30515402,26288890,20470497,21101203,19960287,24713527,22948677
Malaysia,Sabah,50,6599402,823669479,542,36952421,23017320,13935102,30583088,29430409,18729431,43490147,39342019,44141463,34877914,46705378,55121140,50789646,39113993,56009576,28690824,67577101,51325297,54042146,33218654,30210378,25951741,20172661,20857865,19740083,24251181,22485987
Malaysia,Sabah,75,6176675,793674348,551,35418475,20978288,14440188,29703265,28477832,18248894,42507384,38466040,43358306,34142996,45817238,54094155,49957450,38421541,54750638,27029514,63598963,47985404,49993243,31493953,28525711,24128508,18634175,19488799,18523015,22161106,20535284
Malaysia,Sarawak,0,12379558,1558622279,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
